transaction_id,customer_id,persona,date,hour,branch,channel,items,num_items,amount_bhd,payment_method,loyalty_member
TXN120722,CUST0071,Daily Regular,2023-07-05,18,Riffa,Takeaway,Latte,1,1.8,Card,True
TXN120705,CUST0071,Daily Regular,2023-07-05,8,Riffa,Dine-in,Americano,1,1.4,Card,True
TXN116849,CUST0057,Daily Regular,2023-07-06,7,Muharraq,Talabat,Cortado,1,1.6,Benefit Pay,True
TXN137278,CUST0150,Frequent,2023-07-06,12,Seef,Dine-in,Flat White + Iced Latte + Flat White,3,5.8,Card,True
TXN143498,CUST0230,Frequent,2023-07-06,16,Seef,Dine-in,Matcha Latte + Cold Brew,2,4.7,Benefit Pay,True
TXN124297,CUST0084,Daily Regular,2023-07-07,7,Muharraq,Talabat,Iced Latte + Flat White,2,3.9,Cash,True
TXN124136,CUST0084,Daily Regular,2023-07-07,19,Adliya,Dine-in,Espresso + Espresso,2,2.4,Benefit Pay,True
TXN143487,CUST0230,Frequent,2023-07-08,13,Seef,Dine-in,Cortado + Cortado,2,3.2,Benefit Pay,True
TXN120792,CUST0071,Daily Regular,2023-07-08,14,Riffa,Dine-in,Americano + Cheesecake,2,4.2,Card,True
TXN139766,CUST0183,Frequent,2023-07-08,19,Seef,Dine-in,Spanish Latte,1,2.1,Card,True
TXN139770,CUST0183,Frequent,2023-07-08,18,Muharraq,Dine-in,Latte,1,1.8,Benefit Pay,True
TXN137283,CUST0150,Frequent,2023-07-09,14,Riffa,Jahez,Espresso,1,1.2,Apple Pay,True
TXN143133,CUST0225,Frequent,2023-07-10,14,Muharraq,Jahez,Matcha Latte + Cortado,2,4.1,Apple Pay,True
TXN136400,CUST0140,Frequent,2023-07-11,15,Adliya,Dine-in,Cold Brew + Cappuccino,2,4.0,Cash,True
TXN125292,CUST0087,Daily Regular,2023-07-12,9,Seef,Takeaway,Americano + Cappuccino,2,3.2,Benefit Pay,True
TXN125229,CUST0087,Daily Regular,2023-07-12,13,Adliya,Dine-in,Spanish Latte,1,2.1,Apple Pay,True
TXN143537,CUST0230,Frequent,2023-07-12,9,Seef,Dine-in,Iced Latte + Matcha Latte + Spanish Latte,3,6.6,Benefit Pay,True
TXN116912,CUST0057,Daily Regular,2023-07-13,16,Muharraq,Talabat,Cold Brew,1,2.2,Cash,True
TXN139773,CUST0183,Frequent,2023-07-13,11,Seef,Talabat,Cappuccino + Cold Brew,2,4.0,Apple Pay,True
